id|name|culture
AT|Austria|de-AT
BE-NL|Belgium (Dutch)|nl-BE
BE-FR|Belgium (French)|fr-BE
BE-DE|Belgium (German)|de-BE
BG|Bulgaria|bg-BG
HR|Croatia|hr-HR
CY-EL|Cyprus (Greek)|el-CY
CY-TR|Cyprus (Turkish)|tr-CY
EE|Estonia|et-EE
FI-FI|Finland (Finnish)|fi-FI
FI-SV|Finland (Swedish)|sv-FI
FR|France|fr-FR
DE|Germany|de-DE
GR|Greece|el-GR
IE-EN|Ireland (English)|en-IE
IE-GA|Ireland (Irish)|ga-IE
IT|Italy|it-IT
LV|Latvia|lv-LV
LT|Lithuania|lt-LT
LU-FR|Luxembourg (French)|fr-LU
LU-DE|Luxembourg (German)|de-LU
MT-MT|Malta (Maltese)|mt-MT
MT-EN|Malta (English)|en-MT
NL|Netherlands|nl-NL
PT|Portugal|pt-PT
SK|Slovakia|sk-SK
SI|Slovenia|sl-SI
ES|Spain (Spanish)|es-ES
ES-CA|Spain (Catalan)|ca-ES
ES-GL|Spain (Galician)|gl-ES
ES-EU|Spain (Basque)|eu-ES
